Code,Parent,Children,Total
Depictions of physical violence in game,234,283,517
Ineffective game/community moderation,252,157,409
"Bullying, harassment, trolling from other players",163,228,391
Leaking/scamming to get personal information,149,230,379
Gaming becoming online dating for kids,129,200,329
Sexual game content for children,127,172,299
Game design features that encourage children to make unauthorized purchases,131,100,231
Sexual and explicit conversations,82,135,217
Encountering online strangers without supervision,78,78,156
Hacking user account,56,99,155
Horror or scary game content for children,65,51,116
Addiction/excessive gameplay time/game is addictive,43,49,92
Discrimination from other players,23,26,49
Inappropriate content and text on avatars to bypass the safety system,0,35,35
Child-generated inappropriate avatars,25,4,29
Concerns about the game developers' personal values,9,0,9
No way to verify a user's age,0,4,4
