Code,Ruchi,Yang,Keyan,Radhika,Isabelle,Total
Horror or scary game content for children,5,27,9,4,6,
"Sexual game content for children ",60,54,24,8,26,
Depictions of physical violence in game,65,49,72,13,84,
Child-generated inappopriate avatars,3,0,0,0,1,
Gaming becoming online dating for kids,58,49,30,16,47,
"Bullying, harassment, trolling from other players",78,61,34,10,45,
Sexual and explicit conversations,58,29,8,13,27,
Discrimination from other players,8,5,5,0,8,
Scamming to get money or in-game resources,29,34,24,18,34,
Encountering online strangers,26,36,8,1,7,
Scamming to get personal information from other players,21,21,13,9,27,
Game design that encourages children to make unauthorized purchases,4,27,3,0,5,
Aggressively pushing sales towards paid content,0,12,7,1,21,
Unsupervised in-game purchasing,0,5,4,3,8,
Chat filters do not work,47,44,12,9,43,
Moderation is not effective,1,1,0,0,0,
Inappropriate content and text on avatars to bypass the safety system,4,13,3,14,1,
Hacking user account,30,21,8,7,33,
Game crashes and lags lead to XXX (talk about the actual risk caused by the technical issue),1,1,0,0,1,
No way to verify a user's age,0,2,0,0,2,
Game is addictive,14,12,5,9,9,
