documents,label
"My 9 year old son has been playing roblox recently and it is ABSOLOUTLEY disguasting and to the parents out there, never let your children play this game.
",0
"My son is not a terrorist and the creator of this game who is called Badimo wants to get innocent,young children involved in shootings i also saw a chat which had shown slurs and eventually, someone said stuff like 'eww you nine year old suck your mum'  and another one was 'wet donny thinks he can act hard, you wasteman'.
",0
"I was absoloutly disguasted seeing a naked person in what was supposed to be a 'kids game' and yes, sex is a normal thing in life but it is way to inapropriate for kids!
",0
"never let your kids play this game!
",7
"Someone called my son a ""Bacon Newb"" or something and he is crying right now.
",0
"My child was then able to make unauthorised purchases because the site doesn't protect card details by allowing parents to add a password requirement before pressing 'pay now'.
",8
"I took this up with Roblox/Babka who basically didn't give a damn.
",0
"I personally don't think that its for young kids because they can get hacked, my 7 year old got hacked when he bought a lot of roux, don't worry its because he went into a weird game in Roblox.
",0
"Parents NEED to know that there is a VERY dark side to Roblox.
",2
"There are ""condo"" and ""scent"" games that will take the kids to inappropriate servers.
",8
"Kids under 13 are being targeted and invited to these servers as well.
",1
"Sometimes Rape, Gang Rape and Group Sex is present.
",2
"I am horrified that this isn't more moderated.
",0
"The games tend to get taken down but they're like rabbits and then 4 more appear.
",4
"Honestly, if I had known ANY of this was even remotely possible I would have never allowed my daughters to play this game.
",9
"THIS GAME IS HORRIBLE.
",0
"I PLAYED A GAME CALLED EGG FARM SIMULATOR AND THE BOSS WAS 100% HACKING!
",0
"NO CHILD SHOULD EVER HAVE TO SUFFER THROUGH SOMETHING THIS HORRIBLE.
",0
"I MIGHT EVEN FILE A LAWSUIT TRYING TO TAKE THIS GAME DOWN.
",0
"Roblox is supposed to be a game for kids.
",6
"Please don't use easy to guess pins because imagine a 5 year old playing really gory games like Euphoria blood testing.
",8
"That's a game where you can rip off body parts and there is violence, bits and gore.
",3
"Of course it's not really too bad but please lock the account and kids under age of 15 can only play 9+.
",4
"If I was 10 and I couldn't play gore kill sim 5 I would be mad.
",3
"This review hopefully will help but I'm not a parent so I am not perfect at it.
",3
"There are games that can be terrifying and scary like Mimic.
",9
"Roblox is game you should keep away from your children.
",7
"A lot of bullying happens and the support team don’t do anything to help.
",6
"Account gets hacked and unauthorised payments are taken and the support team do nothing to help you.
",6
"Honestly keep this game away from your children.
",7
"No good content about this game and your child will be exposed to inappropriate language and content and guess what!
",1
"The support team do nothing to help.
",6
"The platform has become an online hangout for hackers and teens with no life.
",2
"Online bullying is accomplished by circumventing their user agreement (they simple avoid chat, as that's all the platform logs).
",2
"Online bullying is a serious problem and this platform, while claiming to be for children, provides no actual educational value (their programming is proprietary) and is driven by cash profit.
",8
"It started out noble, but like all things, became monetized and corrupted.
",1
"Don't let your kids on this platform.
",7
"This company is letting people use Stolen CREDIT CARDS TO BUY PRODUCTS WITHOUT CHECKING.
",1
"NO WAY TO CONTACT COMPANY TO EVEN STOP THE USE.
",0
"ITS PURE THEFT by this company even if they they double check to make sure there is NO SCAM THEFT.
",7
"This game is bad my duaghter has been constantly getting scammed bullied and falsly reported and banned i would never recommend this game to others and now my duaghter is in here room crying her eyes out.
",0
"Also it is very innapropriate as she tells me she has seen very offensive things
",1
"DONT LET THEM PLAY ADOPT ME ROYALE HIGH OR MEEPCITY THEY ARE SCAMS ALSO DONT LET THEM GET THE STICH FACE OR ONLINE DATE BC THERE ARE A BUNCHA WEIRDOS other than that the game is fine as long as ur child isnt dumb (as my child never fell for these scams) and gives out their password and do free robux things i would add two step and make sure they put in their correct age or make it 13+ as u cant change it if ur under 13
",7
"I am extremely disappointed in the developers of this game, for a game that's supposed to be for children first of all it's not monitored for child predators or scammers and one cannot tell if their child is talking to another child or an adult, and secondly and also just as important the developers of this game is all about money $$$ and more money $$$ it's like $20 worth of game credits can only last a child maybe an hour of playing time only for them to come back asking a parent to buy them more game cre
",7
"These developers cheating little children out of their parents money they need to be ashamed for low life scammers that they are.
",4
"But beware of the chat feature because you may find inappropriate content.
",1
"I recommend not playing this game to much.
",4
"There are some really scary games on Roblox and before you play it, it’s  good to spend some time outside.
",3
"However, the reason why I gave this four stars is because some users take Roblox to the “next” level by making inappropriate stuff.
",2
"The app and the actual website is quite misleading since the app looks a lot more different than the website, but I understand.
",2
"People also get mad over the customer service since they get an automated message saying, “** Important ** We are currently receiving a high volume of tickets at this time.” I mean, come on, it’s just a reminder telling you to wait since there are many tickets and that sort of junk.
",6
"Roblox is very bad I caught my students playing it and they were harassing homeless children and eating a five course meal in front of them and a few of them had roblox kittens whatever the hell that means don’t let you’re children near this game after I took roblox away one of my students threatened me with scissors I teach 9-12 grade
",7
"ROBLOX isn't a good game for your kids or your wallet.
",7
"ROBLOX is a corporate shell of what it used to be, the idea your kids can learn from this game is outdated as their business model went to exploiting your kids.
",7
"The filter creates an unsafe environment as it's easily bypassed and generally censors things that don't need to be while ignoring things that need to be and there's always some sort of sex game.
",1
"There's also games that actively encourage violence or that put pay walls every few steps of the game (no literally, you touch something and it will give you a pop up to ask you to spend money on it.)
",8
"It has a friend request feature and I checked it out and has games that start with bad words!
",9
"This game is full of immature kids acting like teens my son came to me the other day with tears in his eyes saying he got bullied on Roblox this is not acceptable  and the over priced stuff on here give me a freaking break
",0
"in some games there are blood and people can number swear and my 8 year old son is repeating these bad words and most of all people can ask you for your address so dont bother to get this game.
",7
"My son wanted to show me the game but only what I saw that somebody said ugly things to him and when my son wrote ""sure"" he got banned for it.
",0
"Ban reason was Harassment/Bullying did not know that this word is harassing.
",0
"But I saw more disgusting things than this.. there are adult ppl acting as kids and sexting with kids.
",8
"Roblox over the years has been making very dissapointing updates in recent years, their moderation is worse than ever, Roblox forgot what they were now they are a deppressing looking site only made to make money, greed has overcome Roblox, they have forgotten about their community and left it to us to keep Roblox alive, most of the games now either are very underated games that are good but impossible to find and poorly advertized by Roblox or some trash cashgrab game with no game in it, just a bunch of gam
",1
"Roblox has also been forcing players to use their updates such as slowing removing R6 to match their vision and removing classic faces to their cheap copies to make the game more 'realistic' even though the people using them are mostly likely new to the game or a troll trying to be funny, although the game isnt going anywhere yet they are losing the old players.
",7
"Absolutely terrible!!
",0
"People taking advantage of kids!
",8
"Seems like pedo’s play this.
",3
"Telling our child not to tell their parents!
",7
"IS A BIG NO NO!!
",0
"Should be 18+ 
",1
"This is out of hand!
",1
"THIS GAME IS NOT MENT FOR CHILDREN THIS IS TERIBLE.
",0
"TOXIC AND A RIP OFF …
",0
"As with other reports first and foremost Roblox rips kids off and they are untouchable, as a parent I have complained to them about my kids buying Robux (a scam Nigeria would be proud of) and have also complained about my kids being scammed by other roblox players.
",9
"There is not even a government department that gives 2 hoots about complaints put in about Roblox.
",6
"Rather than banning scammers, the woke moderators at Roblox will ban your kids for the most inane, harmless comments.
",2
"This is not surprising as Roblox themselves scam kids out of their hard earned money.
",4
"This game is simply Toxic
",2
"this game is bad for you're kids they have bad moderation if you misspell 1 single word you can get banned and if you're kid randomly finds a weird game or weird people you're kid will be doing stuff they are not supposed to do this is a very bad game to play dont play it
",7
"-Josh
",0
"However my 6 year old, Alexiacondiacous (Alex for short) has spotted some really disgusting material on this beautiful and amazing game, they found these games called ""sussy condos"" where people can gyrate their booties.
",9
"THIS IS HORRIBLE!!
",0
"My 4 year old boy, Mikeyongles, has recently been saying the n word and saying ""I hate my mum!
",0
"Fuck you!""
",0
"I was outraged after finding out hes been messaging a 69 year old man who lives in a parking lot, he taught him these words through playing roblox, I swatted the guy after I found him and he got bam bam shot up.
",0
"One thing I'd like to add is that there are silly boys and girls on this game that scare my children, my 6 year old wouldn't shut up about a character on roadblox that is named ""Rush"" from doors.
",0
"it gave her nightmares and she hasn't stopped shitting herself and wetting the bed.
",0
"I also hate the skibidi toilet games because my four year old runs around the house saying ""brrr skibidi dip dip yes ye"" and I hate it.
",9
"RIP to my 7 year old who got ran over on roadblox.
",0
"I'm clinically depressed now!
",9
"Communist and Facist movements are still in the game #winenight #freeourchildrenfromroadbloxcommunism
",2
"I am done with Rōblox.
",9
"I cannot believe this rn.
",5
"You know better then that!
",7
"Bring them back or else I will sue you.
",7
"🤬🤬🤬
",0
"P.S.
",0
": Don't play this fucking game.
",7
"Damn Roblox.
",0
"So many terrorists, 9/11 happened.
",1
"The pentagon got blown up, and the world trade centre got bombed.
",4
"Roblox has alot to do alot to teach in terms of programming but unfortunately the game is full of groomers, discord has quite a few places that encourages anti furry hate to a extreme thet bully and allow cheaters to ruin the game in all ages and 10+ servers.
",2
"When I saw this I became absolutely fuming!
",0
"Why is there games involving sex in Roblox what 7 year old and below can access!
",1
"I recommend that you only play this game if you are 18+ as it has very sexual content and it reminds me of Grand Theft Auto.
",7
"1 star out of 5, DO NOT PLAY!
",6
"bad, bandi say bad, go die
",7
"Unfortunately it's extremely easy to be scammed by them, we do not recommended to buy gift cards, you will lose your money.
",6
"There's no support or customer service, they will shamelessly take your money and not provide the service, in short, they're scammers.
",5
"Do losers have nothing better to do then do that on a kids game?
",5
"I've been playing roblox since I was 9 roblox was slightly disgusting than with people and now its even more fucking disgusting as I'm older and especially with voice chat.
",1
"on top of that people will get you banned for 0 reason and roblox doesn't respond at least this has happened for me.
",6
"I even show them proof as if they would fucking care to look.
",7
"the game has become trash in that aspect and games nowadays are getting more boring.
",1
"It's really getting worthless to play this game anymore.
",3
